date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,59.4,49.5,69.3,0.67
,53.5,45.2,61.8,5.04
,49.1,40.5,57.7,6.23
,45.9,38.1,53.7,9.26
,44.9,36.5,53.3,8.77
,44.9,37.5,52.3,7.93
,44.9,39.7,50.0,14.43
,36.4,29.2,43.6,7.25
,44.6,38.6,50.6,19.28
,50.6,42.5,58.7,9.16
,59.6,48.2,71.0,2.97
,61.8,51.7,71.9,1.15
,62.8,51.8,73.8,0.56
,57.5,48.1,66.9,0.78
,51.9,41.0,62.8,6.45
,46.0,36.2,55.6,5.42
,40.6,33.5,47.7,9.41
,40.0,31.6,48.3,3.71
,40.0,33.0,46.9,13.84
,36.9,31.4,42.4,13.18
,47.2,40.9,53.5,13.84
,50.3,41.3,59.3,4.70
,58.8,47.4,70.2,0.73
,61.2,52.1,70.3,3.24
,60.0,49.3,70.6,0.63
,53.8,45.1,62.6,3.17
,52.0,44.0,60.0,2.26
,43.0,34.5,51.4,5.98
,41.0,33.6,48.4,10.85
,41.7,34.6,48.8,7.70
,37.0,31.4,42.7,12.41
,39.1,33.9,44.2,17.77
,43.0,35.6,50.3,6.97
,49.3,40.8,57.8,8.02
,57.1,47.1,67.0,1.79
,61.0,51.0,71.0,1.16
,62.2,52.4,72.0,2.38
,55.0,45.6,64.4,2.89
,51.9,41.4,62.4,2.36
,46.3,37.6,55.1,4.14
,45.1,38.0,52.2,10.57
,42.0,36.0,48.1,13.27
,37.6,31.0,44.2,10.24
,40.4,34.4,46.5,13.29
,43.5,37.8,49.2,30.98
,50.2,40.3,60.1,3.33
,59.0,47.1,70.9,2.07
,60.4,49.7,71.1,0.33
,61.7,51.0,72.4,0.89
,57.9,48.5,67.4,2.90
,52.9,42.5,63.3,3.56
,47.5,38.0,57.0,4.11
,42.2,34.6,49.7,7.78
,40.2,32.5,48.0,5.87
,43.2,38.3,48.1,27.30
,40.7,35.0,46.4,15.55
,42.2,35.2,49.2,12.02
,51.4,44.5,58.3,9.37
,56.2,44.8,67.6,2.26
,62.6,51.8,73.4,0.53
,61.5,51.1,71.9,1.92
,56.2,47.9,64.5,2.96
,54.8,46.5,63.1,6.20
,47.6,39.9,55.4,8.45
,46.6,37.3,55.9,10.25
