date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,62.7,50.9,74.5,0.45
,55.7,46.5,64.8,3.11
,50.6,41.4,59.8,5.98
,46.8,38.0,55.6,5.54
,45.1,36.4,53.8,6.32
,44.4,37.0,51.8,4.71
,43.8,39.1,48.4,8.53
,34.0,27.2,41.0,5.36
,43.7,38.0,49.5,11.34
,50.4,42.6,58.2,5.00
,61.2,48.8,73.5,2.03
,64.7,52.9,76.5,0.85
,67.9,53.8,81.9,0.11
,60.0,49.0,70.9,0.62
,54.1,41.5,66.7,4.08
,47.1,36.3,57.9,3.65
,40.9,33.2,48.5,5.81
,39.6,30.9,48.2,2.40
,38.1,31.7,44.5,7.92
,35.5,30.8,40.3,7.96
,46.6,40.6,52.5,7.72
,50.5,41.5,59.5,3.00
,60.7,47.9,73.5,0.23
,64.8,53.6,76.0,1.74
,63.9,51.0,76.7,0.20
,56.6,46.0,67.3,1.83
,54.6,44.9,64.2,1.16
,43.9,35.0,52.8,3.06
,41.5,33.8,49.3,6.05
,42.0,34.3,49.7,4.57
,36.3,31.1,41.4,8.59
,38.6,34.2,42.9,16.37
,42.9,35.6,50.2,5.22
,49.8,41.2,58.4,4.42
,58.4,47.4,69.4,1.30
,63.5,52.0,75.0,0.92
,65.6,53.6,77.5,0.94
,57.7,46.8,68.5,1.47
,54.0,41.7,66.4,1.51
,47.9,38.6,57.2,3.19
,46.3,38.0,54.5,4.40
,42.2,36.4,48.0,7.47
,36.5,29.7,43.3,6.35
,38.8,33.5,44.2,9.61
,43.3,38.0,48.5,21.37
,50.5,40.4,60.6,2.07
,61.1,47.4,74.8,1.63
,63.9,50.5,77.3,0.29
,65.3,52.4,78.1,0.36
,60.7,50.0,71.3,1.81
,54.8,43.0,66.5,3.29
,49.0,38.4,59.5,2.94
,42.9,35.4,50.4,5.84
,39.1,31.3,46.8,4.70
,42.3,37.6,46.9,17.82
,38.1,33.1,43.2,10.59
,41.1,34.0,48.2,8.68
,52.2,45.5,58.9,5.73
,57.7,45.5,70.0,1.79
,66.0,52.4,79.5,0.38
,64.7,52.5,77.0,0.79
,57.3,48.0,66.5,2.27
,56.5,47.4,65.6,5.22
,48.7,40.1,57.3,4.80
,47.3,37.5,57.1,6.84
,41.8,31.1,52.5,1.46
,40.9,35.0,46.8,3.89
,40.8,35.6,46.0,5.16
,42.7,36.3,49.2,3.28
,52.7,44.8,60.6,5.57
,58.6,49.5,67.6,3.14
,66.7,55.3,78.1,3.69
,66.9,54.2,79.6,0.05
