date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,62.6,49.9,75.3,0.47
,53.6,44.6,62.6,6.90
,47.5,39.0,56.0,7.14
,43.5,35.1,51.9,7.57
,42.0,33.9,50.2,9.14
,41.5,34.8,48.2,5.21
,40.7,35.9,45.4,9.19
,32.7,26.6,38.7,7.91
,41.0,34.8,47.2,10.68
,47.0,39.1,54.9,7.13
,59.8,48.1,71.6,2.28
,63.6,51.6,75.5,0.85
,66.8,53.1,80.4,0.33
,57.8,48.1,67.6,2.01
,52.5,40.9,64.1,6.76
,44.2,34.7,53.8,6.03
,37.6,31.1,44.2,10.30
,37.9,30.1,45.7,5.53
,36.8,30.0,43.5,10.11
,33.2,27.6,38.8,12.01
,44.6,38.5,50.8,9.94
,48.7,39.9,57.6,3.88
,59.3,46.6,72.0,0.91
,63.1,51.5,74.7,2.95
,63.0,49.8,76.1,0.23
,54.6,43.5,65.7,2.79
,51.0,41.7,60.3,4.11
,41.1,32.4,49.9,6.66
,38.4,30.8,46.0,9.91
,39.3,32.0,46.6,6.64
,32.8,27.2,38.4,13.47
,35.2,30.8,39.7,16.50
,40.7,33.5,47.9,8.80
,47.0,39.0,55.0,8.30
,56.2,45.2,67.1,2.51
,61.7,49.7,73.6,1.25
,65.0,53.0,77.0,0.85
,55.6,45.2,66.1,2.34
,52.0,40.3,63.7,2.22
,45.0,35.8,54.2,4.53
,44.4,35.7,53.0,6.63
,39.5,33.3,45.7,9.68
,34.4,27.4,41.4,7.96
,36.7,30.5,42.9,12.30
,40.6,35.6,45.6,24.55
,48.5,38.8,58.2,3.42
,59.4,46.7,72.0,1.75
,62.7,49.1,76.4,0.19
,65.1,51.9,78.3,0.28
,58.9,48.6,69.2,2.93
,52.9,41.9,63.9,4.25
,46.0,36.0,56.1,5.49
,39.2,31.8,46.7,6.49
,36.6,29.2,44.0,5.67
,39.2,34.9,43.5,20.63
,35.8,30.2,41.3,15.43
,39.6,32.8,46.3,11.04
,49.8,42.3,57.4,6.56
,55.9,43.6,68.2,1.76
,64.8,50.8,78.8,0.48
,64.1,51.4,76.8,0.76
,54.2,44.9,63.4,4.21
,53.0,44.5,61.4,7.51
,45.3,37.1,53.4,6.56
,44.5,35.5,53.4,8.16
,39.8,30.8,48.8,2.16
,38.0,32.2,43.8,4.39
,38.9,34.0,43.8,7.33
,41.5,35.1,47.9,4.47
,50.0,42.1,58.0,6.77
,56.0,46.7,65.3,4.30
,65.6,54.0,77.2,4.98
,65.5,52.3,78.8,0.11
,58.6,47.7,69.4,3.13
,51.4,42.7,60.0,5.46
,48.9,37.8,60.0,3.23
,44.9,35.5,54.2,4.16
,39.2,33.2,45.2,7.14
,34.9,30.2,39.6,13.08
,36.7,32.5,41.0,14.01
,37.9,32.2,43.5,9.25
,51.9,43.6,60.2,4.95
,60.9,48.8,73.0,2.81
,64.4,51.2,77.7,0.37
,66.0,51.4,80.6,0.03
,59.8,47.8,71.7,0.84
,50.5,40.8,60.2,3.00
,43.2,35.5,50.9,8.48
,42.3,35.8,48.7,14.31
,38.8,31.8,45.8,6.09
,41.1,35.6,46.6,12.96
,38.0,33.3,42.6,13.02
,43.5,36.2,50.9,5.09
,48.6,38.9,58.2,1.06
,59.0,46.2,71.8,1.73
,62.6,49.0,76.2,0.27
,64.4,51.2,77.7,0.30
,58.0,47.0,69.0,2.82
,48.8,39.2,58.5,2.90
,45.2,36.0,54.3,5.73
,38.2,30.8,45.6,9.34
,39.0,31.1,46.8,5.69
,35.8,31.5,40.2,14.52
,35.9,31.8,40.1,14.45
,42.6,37.2,48.0,12.18
,48.2,39.4,57.1,7.43
,60.2,47.8,72.6,1.15
,63.8,51.3,76.3,1.17
,61.1,49.6,72.5,1.01
,54.0,43.7,64.2,4.44
,53.8,41.0,66.5,3.86
,42.8,34.3,51.3,6.13
,42.4,34.3,50.5,6.90
,36.9,29.3,44.4,2.95
,37.2,31.2,43.1,3.27
,36.6,31.3,41.9,6.66
,37.0,30.6,43.3,5.15
,48.8,40.7,56.9,6.51
,57.8,47.4,68.3,2.01
,61.7,48.7,74.8,0.16
,61.5,49.6,73.4,0.42
,58.6,46.7,70.4,2.71
,50.0,41.5,58.5,5.47
,47.8,37.4,58.2,3.57
,39.9,31.6,48.2,5.89
,38.8,33.0,44.6,8.87
,34.8,29.9,39.6,9.21
