date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,61.8,50.2,73.5,0.14
,56.7,47.4,65.9,4.39
,50.8,41.5,60.1,5.25
,46.8,37.5,56.1,8.85
,46.1,36.6,55.6,9.75
,47.2,39.8,54.6,7.60
,47.4,41.6,53.2,9.05
,41.4,33.6,49.3,6.97
,47.1,38.7,55.4,9.16
,53.2,43.8,62.6,5.02
,62.8,49.9,75.6,1.25
,64.2,52.1,76.3,0.33
,64.8,53.0,76.5,0.11
,59.1,49.5,68.6,1.36
,54.6,44.0,65.2,3.25
,47.9,38.0,57.9,3.16
,43.8,35.7,52.0,9.10
,44.8,36.4,53.2,7.72
,45.3,36.2,54.3,4.35
,41.4,34.3,48.4,12.65
,51.4,43.6,59.2,8.42
,54.4,44.1,64.6,2.43
,61.1,48.0,74.2,0.15
,63.6,52.6,74.7,0.96
,62.6,50.6,74.7,0.07
,56.2,45.1,67.3,1.18
,54.0,44.4,63.7,0.80
,46.1,36.4,55.8,5.06
,44.1,35.0,53.2,8.98
,44.1,35.8,52.4,4.67
,40.3,33.2,47.4,15.00
,41.7,35.7,47.6,13.16
,47.2,38.3,56.2,8.67
,53.1,43.3,62.9,6.87
,59.5,47.4,71.6,1.64
,63.8,52.0,75.6,1.36
,64.8,53.9,75.6,0.99
,57.5,46.4,68.5,0.95
,54.0,43.4,64.7,1.81
,49.3,39.3,59.3,3.83
,48.8,39.3,58.3,5.73
,44.4,37.7,51.1,11.37
,41.4,32.7,50.1,6.36
,44.9,37.2,52.6,14.58
,47.5,41.2,53.7,18.33
,53.8,42.0,65.6,1.09
,61.4,49.0,73.9,1.01
,62.0,49.9,74.2,0.01
,64.2,52.6,75.8,0.18
,60.7,50.8,70.7,1.29
,55.0,43.6,66.5,2.41
,49.0,39.4,58.6,4.03
,43.7,36.2,51.1,11.81
,45.1,35.2,55.0,5.22
,45.6,39.6,51.7,20.94
,45.4,38.5,52.3,16.46
,47.3,39.3,55.2,10.80
,54.9,45.5,64.2,4.60
,59.5,46.9,72.0,1.20
,64.5,52.1,76.8,0.01
,64.7,52.8,76.6,0.53
,57.9,48.6,67.3,3.12
,56.0,46.9,65.0,7.97
,49.5,40.5,58.6,6.86
,50.3,40.4,60.3,8.61
,47.6,36.8,58.4,3.48
,44.8,37.5,52.1,6.18
,45.5,38.2,52.9,10.29
,47.2,38.7,55.7,3.58
,54.4,45.2,63.5,7.68
,60.3,49.3,71.3,3.13
,66.3,54.7,77.8,1.35
,65.1,53.0,77.2,0.05
,59.7,49.6,69.8,1.68
,55.1,45.4,64.9,2.46
,52.0,40.5,63.4,5.09
,50.1,40.1,60.2,4.50
,45.6,38.0,53.1,10.20
,45.4,39.5,51.3,12.42
,44.4,38.3,50.4,18.63
,45.5,38.7,52.3,8.43
,57.3,46.7,67.8,1.80
,62.9,50.0,75.9,1.33
,64.4,52.1,76.6,0.16
,65.0,52.3,77.7,0.00
,60.8,48.0,73.6,0.13
,54.0,43.0,64.9,1.74
,46.7,39.1,54.4,10.58
,48.4,40.6,56.1,9.15
,45.1,35.9,54.3,4.94
,50.2,42.8,57.6,9.77
,45.8,39.4,52.3,21.52
,51.7,42.2,61.1,6.91
,53.4,41.6,65.1,0.52
,61.7,48.3,75.2,0.98
,63.4,49.7,77.0,0.08
,64.5,52.0,77.0,0.05
,59.2,48.6,69.8,1.32
,52.2,41.5,63.0,1.60
,49.8,40.2,59.4,5.02
,44.5,35.0,54.0,6.95
,46.1,36.5,55.7,5.68
,42.5,36.2,48.8,14.86
,43.7,38.0,49.5,15.65
,49.3,41.9,56.6,10.97
,54.2,43.0,65.4,4.44
,61.5,48.6,74.3,0.36
,63.5,52.4,74.7,0.83
,61.6,50.2,73.1,0.56
,56.3,45.6,66.9,2.49
,55.8,43.3,68.4,2.63
,47.0,38.0,55.9,5.11
,47.3,38.1,56.4,4.30
,43.1,34.6,51.6,3.71
,44.4,35.8,52.9,3.50
,45.9,38.3,53.5,6.39
,45.1,37.0,53.3,4.49
,54.1,44.1,64.1,5.97
,61.4,49.3,73.4,0.81
,62.4,50.6,74.2,0.29
,61.8,51.2,72.4,0.22
,59.8,48.7,71.0,1.68
,53.9,44.6,63.2,4.17
,51.4,41.2,61.7,3.35
,44.6,35.2,54.0,3.94
,46.1,39.2,53.0,11.83
,42.7,36.1,49.3,17.94
,45.1,38.0,52.2,7.50
,50.4,43.4,57.4,11.67
,55.6,43.4,67.8,4.64
,61.8,47.9,75.6,0.05
,63.3,53.7,72.8,0.96
,61.3,50.3,72.2,0.16
,57.2,46.8,67.5,0.96
,50.6,40.9,60.4,4.97
,48.1,38.0,58.1,3.60
,43.3,34.9,51.7,9.22
,42.6,36.5,48.6,16.53
,43.9,36.8,50.9,11.66
,41.0,34.2,47.9,13.02
,46.9,40.8,53.0,20.32
,54.0,43.9,64.2,4.79
,62.3,49.8,74.8,0.55
,65.0,52.7,77.2,0.05
,64.6,54.6,74.7,0.05
,57.8,48.6,67.0,1.32
,51.6,44.0,59.2,8.41
,48.8,39.3,58.3,4.23
,47.0,38.7,55.2,9.37
,44.6,38.3,50.9,13.81
,45.8,40.5,51.0,16.27
,43.2,35.5,51.0,6.45
,49.3,42.8,55.7,7.56
,53.8,45.2,62.4,7.73
,62.7,52.1,73.3,5.49
,65.1,53.6,76.6,1.45
,63.2,51.7,74.8,0.47
,58.3,48.3,68.2,1.98
,58.7,47.6,69.7,2.84
,49.4,40.4,58.5,4.77
,47.1,38.7,55.5,9.29
,45.3,36.8,53.8,5.21
,44.2,37.0,51.5,11.83
,44.9,39.0,50.9,25.55
,49.1,42.0,56.2,17.40
,54.1,44.2,64.1,7.63
,60.0,47.8,72.2,1.84
,63.8,51.0,76.6,0.07
,64.7,53.0,76.5,0.37
,58.1,46.9,69.3,0.49
,52.0,42.4,61.7,6.61
,50.7,41.7,59.7,9.46
,47.8,38.1,57.5,5.79
,47.7,39.7,55.7,15.24
,44.3,38.3,50.3,17.92
,47.2,41.4,53.1,15.99
,51.6,44.9,58.3,10.44
,54.5,43.6,65.3,3.99
,63.0,52.5,73.6,2.28
,62.1,49.7,74.5,0.55
,63.9,53.4,74.4,0.42
,57.5,47.6,67.5,3.81
,54.3,45.2,63.4,3.03
,48.3,39.1,57.4,8.35
,46.4,38.0,54.8,13.14
,49.4,41.2,57.7,4.41
,46.7,41.2,52.2,20.74
,43.2,36.9,49.4,9.91
,42.0,34.7,49.3,13.90
,53.1,41.9,64.4,3.86
,62.5,51.2,73.8,1.77
,63.5,51.3,75.8,0.05
,63.2,51.5,74.9,0.03
,57.0,47.1,66.8,1.82
,55.0,45.2,64.8,2.58
,50.1,41.3,58.8,3.71
