date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,65.5,52.4,78.5,0.08
,56.8,46.3,67.4,6.03
,49.4,39.4,59.3,5.80
,45.5,36.2,54.8,12.57
,44.8,35.9,53.7,11.81
,45.9,39.4,52.3,10.23
,45.6,40.6,50.6,14.67
,41.5,34.6,48.4,8.77
,46.5,38.8,54.2,11.04
,52.7,43.4,62.1,5.11
,63.4,50.3,76.5,1.04
,65.4,51.8,78.9,0.19
,66.7,53.2,80.2,0.20
,59.6,48.3,71.0,1.41
,55.8,44.4,67.2,5.27
,48.1,37.2,58.9,3.01
,43.3,35.0,51.6,11.14
,43.7,36.0,51.5,11.00
,46.1,38.0,54.2,4.73
,40.8,34.4,47.3,17.71
,50.3,43.5,57.2,11.07
,55.0,44.8,65.2,3.14
,64.0,50.6,77.4,0.15
,64.9,52.4,77.3,1.29
,65.1,51.6,78.6,0.05
,57.9,45.4,70.4,1.00
,54.4,43.2,65.7,0.77
,45.8,35.4,56.2,4.66
,43.0,34.1,51.9,9.31
,43.9,35.6,52.2,5.86
,39.7,33.2,46.3,17.42
,40.5,34.6,46.3,16.50
,48.1,39.6,56.6,10.71
,52.6,43.5,61.8,9.70
,60.3,48.4,72.3,1.55
,64.7,51.9,77.4,0.70
,65.2,53.3,77.0,1.30
,57.5,45.5,69.4,1.26
,54.4,42.8,66.1,1.66
,48.7,38.2,59.3,5.02
,48.6,38.6,58.6,6.38
,42.8,36.6,49.0,15.13
,41.7,33.4,50.0,6.66
,44.6,37.3,51.9,18.87
,45.7,39.9,51.6,21.30
,55.2,43.6,66.8,1.25
,63.2,49.9,76.4,0.54
,64.8,51.1,78.6,0.08
,67.0,54.2,79.7,0.06
,61.8,50.9,72.7,1.77
,55.3,43.5,67.1,3.16
,48.4,38.8,58.1,5.94
,41.4,34.1,48.7,16.25
,45.6,35.6,55.6,7.70
,43.9,38.5,49.3,23.28
,45.1,38.7,51.5,23.64
,47.5,40.0,55.0,13.24
,53.9,44.6,63.2,5.50
,60.5,47.9,73.1,0.85
,67.7,53.5,81.9,0.01
,67.3,54.0,80.6,0.50
,57.0,47.0,67.0,3.56
,55.0,45.8,64.3,7.40
,48.1,38.7,57.5,9.51
,49.4,39.8,59.0,11.55
,47.1,37.3,57.0,3.63
,43.8,37.1,50.5,7.56
,45.2,38.2,52.1,14.49
,47.0,39.0,55.1,3.52
,54.3,45.2,63.4,8.66
,61.1,49.5,72.7,1.77
,67.1,54.3,79.9,1.09
,66.6,53.5,79.8,0.04
,60.3,49.1,71.5,0.86
,54.4,43.7,65.1,2.03
,51.7,39.9,63.5,6.38
,50.2,39.7,60.8,5.18
,44.7,37.8,51.6,12.68
,44.6,39.3,49.8,13.83
,43.5,38.3,48.8,22.34
,44.7,38.3,51.1,9.48
,57.2,46.6,67.7,1.53
,64.8,51.7,77.9,0.73
,65.5,52.4,78.6,0.17
,67.3,53.1,81.4,0.01
,62.4,48.6,76.2,0.16
,53.3,41.8,64.8,1.85
,44.7,37.2,52.2,14.74
,46.5,38.7,54.3,11.77
,44.9,36.1,53.7,6.38
,49.6,43.2,55.9,13.56
,45.0,39.2,50.8,26.58
,50.9,42.3,59.5,8.44
,55.3,43.2,67.4,0.18
,63.4,49.6,77.1,0.58
,65.9,51.4,80.4,0.01
,66.9,53.1,80.7,0.02
,59.5,47.3,71.7,1.43
,52.5,40.9,64.1,1.83
,49.9,40.0,59.7,6.02
,44.3,34.8,53.9,7.55
,46.2,37.5,54.8,8.79
,41.6,35.2,48.0,16.71
,43.0,37.4,48.6,19.89
,48.0,41.1,54.9,15.40
,55.6,44.8,66.4,5.28
,62.9,49.8,76.0,0.53
,64.5,51.8,77.2,0.89
,64.2,51.3,77.0,0.40
,57.0,45.3,68.7,2.55
,57.8,44.3,71.2,3.05
,45.9,36.7,55.0,5.19
,47.4,38.2,56.5,4.86
,42.7,34.9,50.5,5.65
,44.0,36.1,51.9,5.26
,45.9,38.9,52.8,7.30
,44.7,37.4,52.1,6.66
,53.9,44.2,63.5,8.17
,62.4,50.1,74.7,1.06
,64.2,50.8,77.5,0.10
,62.7,50.5,74.8,0.19
,61.6,49.3,74.0,1.96
,53.2,43.3,63.1,5.55
,50.9,40.4,61.4,4.44
,44.6,35.4,53.9,4.91
,45.4,39.2,51.6,16.36
,42.0,36.4,47.6,22.44
,44.8,38.2,51.5,7.46
,48.9,42.9,55.0,15.00
,56.7,45.2,68.0,5.50
,64.9,50.7,79.1,0.01
,64.1,53.3,74.9,1.30
,63.0,49.7,76.3,0.05
,57.5,45.5,69.5,0.44
,51.1,40.6,61.6,4.45
,47.9,37.3,58.4,3.84
,41.8,34.1,49.4,12.61
,41.2,35.9,46.5,23.57
,43.7,37.0,50.3,14.31
,40.4,33.8,46.9,15.00
,45.6,40.2,51.1,27.22
,53.0,43.5,62.4,5.88
,64.4,51.1,77.7,0.45
,67.5,53.6,81.4,0.02
,66.4,54.0,78.9,0.03
,58.9,48.0,69.8,0.87
,50.2,42.5,58.0,6.17
,48.3,38.4,58.2,5.56
,46.1,38.2,54.0,11.18
,42.5,37.7,47.2,21.35
,44.7,40.9,48.6,24.49
,43.4,36.5,50.3,8.61
,48.5,42.8,54.1,9.43
,53.0,44.9,61.2,10.26
,62.2,52.2,72.2,5.87
,65.6,53.4,77.8,1.78
,64.9,52.0,77.8,0.31
,57.8,47.0,68.6,1.86
,58.5,46.7,70.3,3.01
,48.6,39.5,57.6,6.88
,46.4,38.1,54.6,9.24
,44.6,36.4,52.8,5.49
,43.5,37.2,49.8,15.46
,44.4,39.2,49.4,33.11
,48.1,41.4,54.7,17.87
,53.9,44.2,63.7,7.86
,60.9,48.7,73.1,2.58
,66.5,52.1,80.8,0.01
,67.8,54.5,81.2,0.33
,58.9,46.6,71.2,0.83
,51.8,41.5,62.2,7.19
,49.7,40.7,58.7,12.33
,47.2,37.4,57.0,9.83
,46.4,39.4,53.3,17.98
,43.7,38.4,49.0,22.74
,46.3,41.0,51.7,21.59
,50.4,44.6,56.2,11.90
,55.0,44.6,65.3,2.79
,63.7,52.5,75.0,1.44
,63.2,49.9,76.5,0.65
,65.0,53.1,76.9,0.40
,57.7,47.1,68.2,3.75
