date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,65.2,49.4,81.0,0.39
,55.7,43.5,67.9,4.07
,45.3,34.6,56.0,2.60
,41.1,29.8,52.3,2.78
,37.0,26.0,47.8,1.42
,32.7,25.3,40.0,1.68
,31.0,25.4,36.6,2.85
,22.5,14.6,30.5,2.46
,34.2,25.3,43.1,1.18
,41.6,32.1,51.1,2.58
,61.6,45.4,77.7,0.02
,66.1,51.0,81.1,1.70
,68.0,52.3,83.7,0.18
,57.7,45.4,70.1,3.34
,51.9,38.2,65.6,2.22
,42.3,30.2,54.3,1.39
,33.4,23.6,43.2,2.84
,30.2,21.1,39.2,1.20
,27.3,18.8,35.8,1.83
,25.5,18.2,32.8,3.93
,38.4,30.0,46.8,2.17
,46.8,34.6,59.0,0.89
,58.0,42.4,73.6,0.88
,65.8,49.5,82.2,0.44
,67.0,50.8,83.1,0.27
,57.0,42.7,71.4,1.07
,51.0,38.6,63.4,2.70
,38.4,26.6,50.2,1.04
,33.0,23.0,42.9,1.58
,30.7,22.3,39.2,1.77
,22.7,15.1,30.4,3.67
,26.0,19.4,32.5,3.92
,35.0,25.6,44.4,2.65
,44.3,33.3,55.3,1.82
,56.6,41.6,71.6,0.62
,65.8,49.2,82.3,0.58
,73.0,56.1,89.8,0.20
,59.9,44.8,75.0,1.04
,52.9,38.4,67.3,1.04
,43.9,31.7,56.1,1.13
,41.1,29.8,52.5,0.72
,33.6,25.7,41.4,2.15
,24.3,14.8,33.9,0.84
,27.0,19.2,34.8,3.11
,35.1,27.4,42.9,3.13
,45.3,32.6,58.0,0.49
,58.1,43.0,73.2,0.76
,65.0,48.5,81.4,0.33
,71.5,54.7,88.2,0.29
,60.5,46.4,74.6,1.46
,52.8,39.0,66.7,1.49
,43.5,32.2,54.8,2.18
,34.7,25.8,43.5,3.07
,28.0,17.7,38.4,1.08
,29.8,23.4,36.1,4.26
,24.7,17.3,32.1,5.01
,33.2,24.7,41.8,2.97
,46.7,35.2,58.3,1.66
,55.6,40.3,70.8,0.27
,67.5,50.6,84.4,0.06
,67.8,51.2,84.4,0.34
,55.2,41.8,68.5,1.52
,51.2,40.0,62.3,4.14
,42.9,32.0,53.8,1.76
,39.4,28.6,50.1,2.65
,32.0,20.7,43.2,0.66
,28.4,21.2,35.7,1.38
,30.6,24.0,37.3,2.57
,35.2,27.2,43.1,1.08
,46.7,35.7,57.7,2.20
,55.4,41.9,68.9,0.98
,66.9,52.5,81.2,1.40
,68.5,52.6,84.4,0.68
,59.6,45.4,73.8,0.97
,49.7,38.3,61.2,2.64
,46.0,32.7,59.3,1.20
,41.1,29.2,52.9,1.01
,29.0,20.4,37.5,2.82
,24.9,17.9,31.9,3.62
,29.8,23.9,35.8,3.48
,30.5,22.2,38.8,2.01
,50.5,37.8,63.2,0.39
,59.8,44.8,74.7,0.37
,68.5,52.2,84.8,0.64
,72.0,55.0,89.1,0.43
,60.8,45.3,76.2,0.50
,50.6,38.2,62.9,2.60
,41.6,31.0,52.2,2.68
,39.2,29.8,48.6,2.90
,30.5,21.4,39.7,1.44
,32.8,26.6,39.0,2.87
,31.2,24.8,37.5,4.29
,36.3,26.2,46.4,0.76
,43.9,30.2,57.6,0.16
,57.7,42.4,73.1,0.40
,62.7,46.9,78.5,0.56
,70.2,53.6,86.7,0.35
,60.0,46.0,74.1,0.77
,49.7,36.6,62.7,0.41
,43.0,31.2,54.8,1.47
,33.3,23.3,43.3,2.32
,27.2,17.3,37.1,1.01
,25.7,18.8,32.6,2.78
,24.9,18.4,31.4,3.84
,37.1,28.7,45.5,2.75
,45.9,33.9,57.9,1.61
,61.2,45.6,76.8,0.63
,70.1,53.0,87.1,0.15
,66.0,51.2,80.7,0.82
,56.9,42.8,71.0,0.97
,53.9,39.6,68.3,0.99
,40.5,29.2,51.7,1.92
,38.9,28.2,49.6,1.60
,27.8,19.1,36.5,0.98
,25.0,17.2,32.9,1.56
,27.0,20.0,34.0,1.63
,29.0,21.2,36.9,1.30
,45.5,34.7,56.4,2.36
,55.3,42.0,68.6,1.16
,67.6,50.2,84.9,0.10
,66.7,50.5,82.9,0.21
,59.8,44.8,74.8,1.15
,50.9,38.7,63.1,1.20
,47.0,33.8,60.1,1.01
,36.2,25.6,46.9,2.26
,34.1,26.3,41.8,3.46
,27.4,20.5,34.3,3.68
,27.6,21.2,33.9,3.42
,39.9,31.5,48.3,2.11
,47.7,33.8,61.6,1.18
,57.0,41.0,72.9,0.01
,67.0,51.8,82.2,0.60
,64.3,47.5,81.1,0.11
,56.4,42.9,70.0,0.90
,47.5,34.5,60.5,1.08
,40.6,28.5,52.7,0.81
,35.1,24.7,45.5,1.22
,28.2,20.2,36.1,5.36
,29.7,22.6,36.9,2.77
,23.9,17.0,30.7,3.57
,35.5,29.7,41.3,4.29
,44.9,32.5,57.2,0.36
,62.7,48.8,76.7,2.03
,69.0,52.2,85.7,0.07
,70.7,55.2,86.2,1.28
,55.7,43.0,68.4,1.41
,49.0,39.0,59.0,5.89
,42.9,31.9,53.9,1.96
,37.0,27.1,46.9,2.62
,32.3,24.9,39.7,2.35
,29.9,23.0,36.8,4.03
,26.7,19.0,34.4,1.89
,37.1,28.8,45.5,1.56
,45.0,33.6,56.3,1.22
,59.2,45.4,73.1,0.86
,67.0,51.3,82.6,0.43
,64.0,49.6,78.3,2.43
,57.2,44.3,70.1,1.76
,54.5,40.8,68.2,1.19
,41.3,30.4,52.2,2.19
,37.9,27.2,48.6,1.46
,30.9,21.5,40.3,1.00
,27.2,19.7,34.8,3.54
,28.6,22.2,35.0,7.67
,35.9,27.8,44.1,3.20
,46.0,34.4,57.6,1.54
,54.9,40.8,69.0,0.68
,66.4,50.3,82.5,0.43
,68.8,52.0,85.5,0.37
,57.8,43.3,72.4,0.78
,47.3,36.2,58.3,2.96
,43.4,32.4,54.4,2.82
,38.4,27.8,48.9,1.40
,30.2,20.7,39.7,2.31
,27.3,20.3,34.2,3.18
,29.0,22.6,35.4,4.23
,38.1,31.0,45.3,3.90
,42.9,31.7,54.1,1.11
,59.8,45.0,74.7,0.20
,62.6,46.7,78.3,1.12
,65.1,50.7,79.4,1.25
,56.0,43.9,68.0,2.39
,50.6,38.9,62.3,1.82
,41.4,30.6,52.1,2.20
,36.6,27.4,45.8,3.72
,36.2,26.9,45.6,1.50
,30.1,24.2,36.0,3.87
,25.1,17.9,32.3,2.44
,27.4,20.6,34.3,3.67
,44.8,33.3,56.4,1.15
,61.3,45.9,76.8,0.37
,68.2,51.2,85.2,0.20
,69.3,53.1,85.4,0.54
,58.4,43.9,72.8,0.54
,53.3,41.2,65.5,2.26
,46.1,34.6,57.5,1.90
,39.8,26.9,52.7,0.49
,28.0,19.4,36.7,2.21
,30.8,24.0,37.6,2.11
,28.5,22.0,35.1,2.34
,29.2,18.9,39.6,0.93
,48.3,36.9,59.8,0.89
,57.6,41.8,73.4,0.04
,61.5,47.2,75.9,1.14
,56.5,43.9,69.2,1.29
,54.6,42.8,66.3,2.90
,55.5,42.8,68.1,1.78
,41.3,31.5,51.1,2.47
,36.1,28.0,44.2,2.93
,24.6,16.3,32.9,1.46
,20.4,12.7,28.1,4.10
,22.8,15.8,29.7,3.67
,30.8,24.1,37.5,2.64
,49.1,36.6,61.6,1.34
,56.7,42.4,71.0,0.46
,66.8,50.7,82.8,0.33
,63.5,49.4,77.6,1.16
,62.3,48.4,76.1,2.73
,56.9,41.5,72.3,0.53
,46.5,34.7,58.2,1.70
,43.4,31.0,55.9,0.87
,37.6,29.2,46.0,1.78
,28.8,21.6,35.9,1.25
,28.9,21.9,35.9,1.26
,32.5,26.2,38.8,4.33
,47.2,33.8,60.6,1.02
,60.2,44.2,76.2,0.37
,69.0,52.8,85.1,0.08
,67.3,51.2,83.4,0.20
,53.7,41.2,66.3,1.59
,47.1,36.0,58.2,4.40
,41.2,30.8,51.7,1.79
,35.2,25.8,44.6,2.72
,36.7,27.8,45.6,1.12
,23.4,14.5,32.3,1.77
,16.6,8.4,24.9,1.76
,34.9,26.7,43.2,1.56
,43.8,32.9,54.6,1.82
,64.0,48.0,80.1,0.13
,66.4,52.3,80.5,1.51
,68.3,52.5,84.0,0.33
,57.9,44.3,71.4,1.18
,48.2,36.8,59.8,2.66
,48.3,35.5,61.2,2.40
,38.5,26.7,50.4,1.55
,28.2,18.4,37.8,2.32
,29.6,23.1,36.1,2.86
,29.6,20.4,38.9,0.45
,35.7,27.0,44.5,1.29
,45.2,33.9,56.5,1.51
,56.9,42.2,71.5,1.02
,61.7,48.2,75.2,2.61
,67.0,50.5,83.4,0.23
,59.7,45.4,74.1,0.93
,48.6,36.1,61.1,2.22
,45.9,33.8,57.9,1.39
,35.1,26.4,43.9,3.38
,18.2,7.7,28.7,2.03
,21.1,13.1,29.1,3.16
,23.8,16.5,31.0,2.52
,33.6,27.4,39.8,5.31
,54.4,39.6,69.3,0.06
,56.8,41.2,72.5,0.41
,65.5,48.0,82.9,0.29
,67.1,50.9,83.3,0.15
,60.7,47.1,74.3,1.54
,50.6,37.7,63.6,1.31
,45.0,33.1,57.0,1.43
,36.9,25.3,48.4,1.55
,30.4,19.8,41.0,1.14
,23.7,16.0,31.4,2.59
,27.2,20.2,34.3,2.94
,35.6,27.1,44.0,1.69
,49.8,32.9,66.7,0.03
,60.3,43.0,77.5,0.05
,63.8,47.4,80.2,0.24
,63.8,49.6,78.1,1.08
,61.1,46.7,75.5,1.15
,54.2,41.1,67.4,1.34
,48.6,34.1,63.2,0.74
,37.6,28.2,47.0,2.42
,32.0,22.5,41.4,1.73
,22.2,13.8,30.6,2.76
,26.4,19.4,33.3,0.74
,35.1,27.8,42.4,2.08
,47.5,34.2,60.8,0.61
,51.6,40.6,62.7,2.50
,69.0,52.5,85.5,0.37
,62.0,47.0,77.1,0.53
,63.2,47.7,78.6,0.80
,51.3,38.7,63.9,1.44
,42.1,30.4,53.8,1.42
,42.0,31.4,52.5,2.18
,34.6,27.6,41.7,4.48
,27.5,19.6,35.4,3.01
,15.3,6.8,23.7,1.54
,23.1,15.8,30.4,3.09
,43.2,32.4,54.1,1.76
,51.0,39.6,62.3,1.97
,62.4,47.5,77.2,0.79
,70.5,53.7,87.2,0.76
,59.7,44.7,74.7,0.77
,52.2,39.6,64.7,1.99
,46.3,33.2,59.4,1.03
,30.6,20.5,40.7,1.85
,21.5,11.7,31.2,2.10
,18.1,9.0,27.2,0.48
,19.0,10.7,27.3,3.02
,34.0,28.0,39.9,4.41
,42.2,32.7,51.6,1.71
,54.7,42.1,67.3,0.68
,67.6,52.4,82.8,2.56
,67.0,51.7,82.3,0.93
,54.9,43.0,66.7,2.15
,48.6,37.3,59.9,2.16
,40.6,31.6,49.5,2.49
,36.0,27.8,44.1,3.36
,25.2,17.4,33.1,2.51
,22.5,16.3,28.6,2.45
,20.3,14.5,26.2,5.13
,36.1,30.7,41.4,4.39
,47.2,35.2,59.2,0.69
,54.8,40.8,68.7,0.60
,67.3,53.9,80.7,1.32
,62.3,49.0,75.5,1.30
,56.4,43.4,69.3,1.48
,50.7,37.7,63.7,1.32
,40.3,29.0,51.5,2.06
,39.3,31.7,46.9,4.97
,35.0,28.9,41.0,3.67
,30.6,24.5,36.7,2.85
,26.6,19.8,33.3,4.72
,30.6,22.9,38.3,1.67
,44.8,35.2,54.5,2.77
,55.7,43.7,67.6,1.61
,66.1,51.4,80.9,0.68
,64.0,50.5,77.4,2.42
,59.2,46.9,71.6,2.15
,48.4,35.4,61.5,1.13
,39.1,28.0,50.1,1.72
,35.4,26.5,44.4,2.21
,25.0,16.4,33.6,3.23
,23.2,15.5,31.0,4.16
,30.3,23.6,37.0,4.68
,37.2,29.1,45.3,4.18
,43.6,33.6,53.6,1.78
,58.1,43.1,73.1,0.95
,68.5,51.0,86.0,0.17
,63.8,47.7,80.0,0.66
,55.9,43.2,68.6,2.09
,49.1,38.6,59.6,2.66
,43.8,32.6,54.9,1.29
,38.0,26.9,49.2,2.53
,32.0,23.0,41.0,2.91
,32.4,27.2,37.6,2.06
,30.0,22.8,37.2,3.82
,34.4,26.1,42.8,1.87
,46.5,33.5,59.5,0.95
,57.6,44.2,71.1,2.65
,61.3,45.8,76.8,0.19
,65.9,51.0,80.7,0.64
,54.4,42.5,66.2,2.99
,50.8,39.8,61.8,3.34
,45.5,33.4,57.7,1.44
,35.3,26.6,43.9,2.34
,34.6,28.5,40.7,3.24
,25.6,18.5,32.7,2.82
