date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,64.2,46.0,82.5,0.46
,54.1,40.0,68.1,1.59
,45.0,32.9,57.1,1.86
,39.9,27.2,52.5,2.16
,37.9,24.9,50.8,0.79
,35.0,26.3,43.8,1.04
,34.8,28.6,41.0,2.17
,26.2,16.6,35.7,1.37
,36.1,25.9,46.4,0.84
,42.7,31.1,54.3,1.68
,60.7,42.3,79.1,0.06
,64.7,46.9,82.5,0.84
,67.5,49.1,85.8,0.06
,57.1,42.8,71.3,2.22
,51.5,36.3,66.7,1.01
,41.3,27.7,54.8,1.31
,34.3,23.7,44.9,1.40
,33.4,23.6,43.3,1.09
,32.6,22.2,43.0,0.72
,27.5,18.1,37.0,1.82
,41.0,31.1,50.9,1.19
,47.7,34.0,61.4,0.57
,57.9,39.7,76.1,0.12
,64.2,46.6,81.7,0.45
,65.5,47.1,83.8,0.09
,55.3,38.9,71.7,0.37
,50.0,36.8,63.3,1.75
,38.2,24.8,51.6,0.57
,34.7,23.1,46.2,0.74
,34.0,23.9,44.1,0.73
,25.4,16.2,34.7,2.11
,27.8,20.3,35.2,1.37
,37.5,26.6,48.4,1.41
,44.4,31.6,57.2,1.86
,55.1,38.3,71.8,0.45
,63.6,45.4,81.9,0.52
,69.7,51.8,87.5,0.16
,57.2,40.6,73.9,1.13
,51.4,35.4,67.4,0.47
,42.6,29.0,56.2,1.31
,42.1,29.6,54.6,0.68
,34.2,25.1,43.2,1.32
,28.1,17.6,38.5,0.81
,30.8,21.5,40.1,1.68
,35.9,27.2,44.6,2.21
,45.6,30.7,60.6,0.66
,57.8,40.1,75.6,0.27
,62.8,44.6,81.0,0.40
,68.7,50.1,87.3,0.23
,59.4,44.0,74.8,2.01
,51.5,36.5,66.5,1.13
,42.7,30.0,55.4,1.22
,34.2,24.8,43.6,1.55
,30.7,19.4,41.9,0.83
,32.4,25.3,39.6,2.89
,28.9,20.6,37.3,3.08
,34.8,25.2,44.4,2.41
,47.6,33.8,61.3,1.30
,54.5,37.5,71.4,0.48
,65.6,46.9,84.2,0.06
,66.5,47.7,85.3,0.23
,53.0,38.2,67.7,0.76
,50.5,38.4,62.6,3.14
,42.0,31.0,53.0,1.84
,40.5,28.7,52.3,0.93
,34.1,22.2,46.1,0.68
,31.4,23.0,39.8,0.73
,33.6,25.3,41.9,2.37
,36.5,26.6,46.4,0.74
,46.4,33.5,59.3,1.70
,54.2,38.5,70.0,0.30
,66.1,50.2,82.1,1.24
,66.7,49.1,84.3,0.35
,57.8,42.2,73.4,1.00
,48.7,36.0,61.3,2.82
,45.0,31.0,59.0,1.10
,42.0,28.8,55.2,0.73
,31.9,23.1,40.6,1.76
,29.7,22.2,37.1,2.18
,31.0,24.2,37.9,2.58
,32.3,23.2,41.3,1.54
,50.2,35.7,64.6,0.62
,59.9,42.4,77.4,0.92
,65.9,47.9,83.8,0.40
,69.9,51.0,88.8,0.15
,60.0,42.7,77.2,0.05
,49.5,36.0,62.9,1.81
,39.4,28.5,50.2,1.65
,40.0,29.5,50.4,1.37
,32.5,22.6,42.4,0.84
,36.8,29.1,44.5,1.86
,32.6,25.1,40.2,2.22
,39.1,27.1,51.0,0.40
,43.8,28.4,59.2,0.35
,57.0,39.6,74.3,0.28
,61.3,43.7,78.8,0.62
,68.3,49.6,87.0,0.05
,59.4,43.6,75.2,0.66
,48.4,34.0,62.9,0.60
,43.4,30.0,56.8,0.99
,35.0,23.3,46.8,0.74
,33.5,22.7,44.2,0.42
,28.9,21.0,36.9,1.31
,28.2,21.7,34.8,2.12
,37.7,28.6,46.8,1.97
,47.4,33.0,61.8,0.95
,59.5,42.5,76.4,0.70
,67.2,49.4,84.9,0.14
,63.2,46.6,79.7,0.96
,55.0,39.7,70.3,0.95
,53.7,37.3,70.2,0.54
,39.5,27.7,51.2,1.57
,39.2,27.8,50.7,1.06
,30.9,21.4,40.4,0.74
,29.7,21.2,38.2,0.63
,31.1,22.6,39.6,0.94
,31.0,22.1,39.9,0.95
,45.5,33.0,58.0,1.69
,55.5,39.8,71.2,0.70
,64.2,45.4,83.0,0.11
,63.6,46.4,80.8,0.40
,58.7,41.9,75.5,0.23
,49.0,35.8,62.3,0.69
,46.2,31.8,60.5,1.01
,36.4,24.5,48.3,1.59
,34.8,26.7,42.8,2.37
,29.4,22.1,36.7,2.54
,32.4,23.4,41.3,0.56
,41.8,32.7,51.0,1.18
,49.0,32.8,65.2,1.10
,56.0,37.7,74.3,0.02
,64.2,47.7,80.6,1.04
,62.5,44.0,80.9,0.29
,54.8,39.2,70.3,0.28
,45.9,32.1,59.6,0.84
,39.6,26.8,52.4,0.51
,35.1,24.9,45.3,1.25
,31.0,23.4,38.6,2.33
,32.7,24.4,41.0,1.58
,28.0,20.0,36.0,1.90
,36.4,29.8,42.9,3.37
,44.8,30.6,59.1,0.55
,60.6,44.0,77.2,0.52
,66.6,48.1,85.1,0.22
,68.5,51.7,85.3,1.04
,55.2,41.2,69.2,1.23
,46.0,35.8,56.2,4.96
,42.2,29.9,54.4,1.17
,37.8,26.6,49.0,1.14
,33.2,25.7,40.7,1.69
,32.7,25.8,39.6,3.26
,29.7,20.7,38.7,0.90
,38.8,30.2,47.5,1.18
,45.1,32.4,57.7,0.90
,56.9,41.8,72.0,1.14
,65.2,48.6,81.8,0.36
,62.7,45.8,79.6,1.24
,54.4,39.9,68.8,1.59
,54.1,39.4,68.8,1.05
,40.8,29.4,52.3,1.74
,39.0,27.6,50.5,1.01
,32.3,23.1,41.5,0.63
,30.3,22.0,38.6,2.34
,31.7,24.7,38.7,4.35
,37.7,27.9,47.5,3.27
,45.9,33.1,58.7,1.08
,54.1,38.0,70.2,0.52
,65.3,46.9,83.7,0.27
,67.3,49.2,85.5,0.20
,56.3,40.0,72.5,0.82
,46.1,33.7,58.6,2.30
,43.2,30.9,55.5,1.70
,38.2,26.9,49.6,1.14
,32.1,22.4,41.9,1.87
,30.7,23.5,37.9,2.74
,31.0,23.7,38.2,3.07
,41.2,32.2,50.1,2.15
,44.9,31.2,58.6,0.71
,58.9,42.7,75.2,0.45
,60.5,42.7,78.4,0.22
,63.1,46.7,79.5,0.84
,54.8,41.4,68.2,1.88
,49.5,36.9,62.1,1.34
,40.5,28.7,52.2,1.87
,36.8,26.6,46.9,1.56
,38.9,28.1,49.6,1.02
,32.3,26.2,38.5,3.55
,28.7,20.8,36.6,0.78
,29.3,21.3,37.2,1.81
,44.9,31.1,58.7,1.09
,60.1,43.6,76.6,0.62
,64.2,45.3,83.0,0.05
,67.9,49.6,86.1,0.19
,56.7,40.9,72.6,0.89
,51.8,38.1,65.4,1.53
,45.3,32.8,57.8,1.38
,39.9,26.3,53.6,0.73
,31.5,21.7,41.3,1.09
,34.9,25.7,44.0,0.89
,31.5,23.8,39.1,1.14
,30.6,17.4,43.8,0.70
,49.0,35.6,62.4,0.56
,57.1,39.4,74.9,0.08
,60.3,44.2,76.4,1.29
,56.0,42.0,70.1,1.13
,54.4,40.6,68.2,1.35
,53.4,39.6,67.1,2.29
,41.5,31.2,51.8,1.87
,38.3,29.4,47.1,2.27
,24.5,15.2,33.8,1.45
,21.3,12.8,29.8,2.71
,25.3,17.7,32.9,2.43
,34.1,25.4,42.9,1.80
,49.0,35.4,62.5,1.91
,56.7,40.5,72.8,0.52
,65.3,47.5,83.1,0.12
,63.0,47.5,78.6,1.84
,61.2,45.4,76.9,1.76
,56.0,38.8,73.1,0.73
,45.9,33.4,58.4,1.60
,42.1,29.0,55.2,0.85
,38.9,29.5,48.2,0.84
,32.5,24.5,40.6,0.61
,32.2,24.4,39.9,0.87
,37.3,30.4,44.2,2.62
,47.3,32.0,62.6,1.10
,59.7,41.0,78.4,0.06
,66.1,49.4,82.8,0.55
,65.2,48.1,82.3,0.53
,51.8,38.4,65.2,1.89
,45.4,33.9,56.8,2.71
,39.9,28.9,50.8,1.27
,34.9,25.6,44.2,1.79
,40.0,29.6,50.4,0.74
,30.0,19.9,40.2,0.73
,22.2,12.2,32.2,0.99
,37.3,27.7,47.0,1.21
,45.1,31.7,58.5,0.90
,61.2,43.8,78.6,0.24
,64.2,49.2,79.2,1.08
,66.5,49.5,83.6,0.40
,56.9,42.1,71.7,0.56
,47.0,34.0,60.0,2.02
,47.9,33.6,62.1,0.97
,39.2,26.9,51.6,1.33
,30.2,19.6,40.9,0.73
,32.0,25.1,38.9,1.97
,33.2,21.7,44.8,0.34
,38.0,27.1,49.0,0.67
