date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,65.6,50.2,81.0,0.11
,57.9,47.1,68.7,3.77
,51.9,41.8,62.1,3.53
,47.5,37.5,57.4,7.29
,45.7,36.6,54.8,9.32
,45.6,38.5,52.8,6.50
,44.8,39.5,50.1,8.99
,36.4,30.2,42.6,7.51
,44.7,37.3,52.1,10.09
,51.6,42.0,61.2,4.69
,63.1,49.5,76.7,1.42
,66.0,51.2,80.8,0.24
,68.7,53.4,84.0,0.72
,60.9,49.6,72.2,1.75
,55.7,42.7,68.6,4.81
,48.2,37.2,59.1,2.57
,42.3,34.4,50.2,6.70
,41.6,33.7,49.5,4.93
,40.5,33.8,47.3,5.99
,37.7,31.6,43.8,8.66
,48.0,41.6,54.5,7.31
,51.9,41.6,62.2,2.68
,62.2,47.7,76.8,0.39
,65.7,51.8,79.6,1.44
,66.3,50.8,81.9,0.05
,57.5,44.7,70.3,1.34
,54.9,44.4,65.4,0.60
,45.0,35.6,54.5,4.17
,42.2,33.7,50.6,7.08
,42.4,34.0,50.8,4.53
,36.3,31.1,41.6,12.11
,39.4,34.3,44.4,14.20
,44.2,36.5,51.9,6.19
,50.8,42.0,59.5,5.71
,60.2,47.3,73.0,1.53
,65.5,51.7,79.3,0.69
,67.2,53.5,81.0,0.49
,58.9,46.3,71.4,0.74
,54.5,42.0,67.0,1.51
,48.6,37.7,59.5,3.31
,48.1,38.4,57.8,3.95
,43.2,36.5,49.8,10.02
,38.2,31.2,45.3,5.99
,40.2,34.2,46.1,11.41
,44.8,38.9,50.8,21.90
,52.8,40.6,65.0,1.27
,63.3,48.0,78.6,0.85
,66.0,50.0,82.0,0.03
,68.4,52.8,84.1,0.16
,62.3,50.8,73.9,1.33
,56.5,44.0,68.9,2.37
,49.9,38.6,61.2,3.10
,43.3,35.1,51.5,6.72
,41.4,32.5,50.2,4.17
,43.2,38.0,48.4,20.05
,39.7,34.0,45.3,15.78
,43.2,35.7,50.7,8.61
,53.5,44.4,62.6,5.03
,60.9,46.2,75.6,0.71
,68.5,51.6,85.5,0.16
,67.6,53.0,82.2,0.25
,58.3,47.7,68.8,3.36
,56.4,46.5,66.2,4.95
,49.5,39.6,59.4,3.74
,49.0,38.7,59.3,6.89
,43.2,33.8,52.5,0.99
,42.0,35.9,48.0,4.64
,42.4,37.2,47.6,6.69
,44.6,37.4,51.7,2.78
,54.0,45.0,63.1,5.44
,60.1,48.9,71.4,3.31
,68.2,54.1,82.4,2.33
,68.3,52.6,84.0,0.04
,61.4,49.2,73.6,1.74
,55.8,45.4,66.3,2.16
,52.3,40.4,64.1,3.56
,49.4,38.8,60.0,3.60
,43.3,36.4,50.3,6.74
,40.3,35.4,45.2,10.07
,41.6,36.6,46.5,13.58
,42.6,36.1,49.0,8.17
,55.8,46.0,65.7,2.67
,64.1,49.8,78.3,1.35
,67.1,51.8,82.3,0.15
,68.6,52.0,85.2,0.05
,63.1,49.4,76.8,0.24
,54.6,43.0,66.2,1.68
,47.5,38.9,56.1,6.78
,47.4,40.5,54.3,10.32
,43.0,34.8,51.2,4.46
,45.1,39.1,51.1,8.84
,42.5,37.3,47.7,14.91
,47.1,39.1,55.0,6.40
,52.8,41.1,64.5,0.61
,63.0,48.5,77.4,1.07
,66.1,50.4,81.8,0.29
,67.0,51.4,82.6,0.02
,60.4,47.5,73.3,1.43
,53.0,41.5,64.4,1.75
,49.6,39.1,60.1,3.09
,42.8,34.2,51.5,8.21
,43.5,34.9,52.2,4.47
,40.7,35.5,46.0,13.52
,40.7,35.0,46.3,13.16
,47.1,40.7,53.5,11.95
,52.6,41.7,63.5,4.20
,62.9,48.6,77.2,0.61
,65.6,51.2,79.9,0.97
,64.1,49.9,78.3,0.43
,57.5,45.2,69.8,2.41
,56.9,42.9,70.8,2.09
,46.9,36.8,57.1,3.39
,46.4,37.2,55.5,3.92
,41.7,33.1,50.3,2.31
,41.1,34.2,48.0,2.84
,41.0,35.0,47.0,6.26
,41.6,34.1,49.0,3.26
,53.0,42.4,63.5,3.87
,61.9,49.3,74.4,1.29
,64.9,49.6,80.3,0.03
,64.4,50.2,78.5,0.22
,62.2,48.6,75.7,1.78
,54.4,44.1,64.7,3.77
,51.3,40.0,62.5,2.21
,43.8,34.8,52.8,4.12
,43.0,36.2,49.8,8.38
,39.2,33.5,44.9,10.90
,41.8,35.6,48.0,9.46
,48.4,41.9,54.9,12.41
,53.7,42.0,65.5,3.82
,63.0,47.5,78.5,0.12
,65.6,52.9,78.3,0.69
,63.7,49.1,78.2,0.17
,58.1,46.4,69.8,0.88
,51.5,40.2,62.7,3.58
,48.3,36.9,59.8,1.72
,42.9,34.8,51.0,7.97
,41.3,35.1,47.4,17.78
,41.4,36.1,46.8,13.56
,38.7,32.9,44.5,15.04
,46.1,40.3,52.0,16.80
,52.5,42.8,62.2,3.78
,64.5,49.9,79.1,1.36
,67.8,52.3,83.2,0.01
,68.1,53.9,82.4,0.08
,60.0,47.6,72.3,0.86
,53.1,44.3,61.9,5.51
,49.6,38.4,60.7,2.25
,46.8,38.0,55.6,8.01
,44.0,37.0,50.9,10.55
,43.0,37.4,48.6,12.77
,39.8,33.6,46.0,5.48
,47.9,41.0,54.8,7.06
,51.6,43.0,60.2,9.64
,62.7,50.9,74.4,4.64
,67.9,53.4,82.3,1.43
,65.4,51.6,79.2,0.57
,59.2,47.2,71.2,2.14
,59.6,46.9,72.3,2.79
,48.8,39.1,58.5,4.79
,45.4,37.0,53.9,9.48
,42.7,34.7,50.6,3.31
,40.9,35.0,46.8,11.54
,41.6,35.8,47.4,22.75
,45.3,38.2,52.4,12.85
,51.8,42.4,61.3,6.27
,59.8,47.4,72.3,2.12
,67.2,52.0,82.2,0.19
,69.0,53.6,84.4,1.35
,59.4,46.2,72.6,0.65
,52.2,41.6,62.7,4.64
,51.0,41.3,60.7,7.42
,46.8,37.5,56.1,3.83
,42.4,34.9,50.0,18.45
,41.5,36.1,46.8,13.99
,42.3,37.0,47.7,14.42
,49.8,44.0,55.7,12.23
,52.3,42.6,62.1,4.68
,64.3,52.7,75.9,3.25
,64.4,50.2,78.5,0.94
,67.3,53.8,80.8,0.32
,60.4,48.7,72.0,2.28
,56.8,45.2,68.4,1.86
,48.4,38.5,58.3,6.60
,45.8,37.0,54.7,8.72
,46.9,39.1,54.6,6.63
,43.9,39.0,48.8,13.91
